104	2b33c9b9-84f6-4658-a455-4162800f943d_xx.PNG	2022\\12\\29	1613849	2022-12-29 14:16:52.673889	F	223	\N	0
106	689c01b5-9962-4410-81a7-1397f3c3dd16_m_221227_moonhak_p.jpg	2022\\12\\29	32641	2022-12-29 14:20:02.850923	F	4	\N	0
108	fda51547-712c-4edd-acc8-5d9c82fef00c_m_211213_pig_p.jpg	2022\\12\\29	53343	2022-12-29 14:22:14.734676	F	215	\N	0
110	459be678-a003-4b63-8ec0-ac0d185ec23d_m_221115_dototy_p.jpg	2022\\12\\29	63580	2022-12-29 14:26:10.194014	F	3	\N	0
112	4f81918a-da2b-4631-baa9-76fcd5f87b06_m_221215_munhak_p.jpg	2022\\12\\29	78642	2022-12-29 14:27:32.685197	F	217	\N	0
114	65785365-a7be-4d9e-b5a2-653b04fe5b0b_221219_seoulmedia_conan_1 (1).jpg	2022\\12\\29	178510	2022-12-29 14:29:58.860836	F	222	\N	0
116	1e31e219-2b66-4b87-a6ae-55089df7eb50_m_221209_viabook_eat_p.jpg	2022\\12\\29	98940	2022-12-29 14:31:09.368196	F	218	\N	0
118	d96fa888-a03f-4655-a2ed-88bca262bf84_m_221209_tile_p.jpg	2022\\12\\29	72177	2022-12-29 14:32:53.528741	F	219	\N	0
120	b0cd63b3-1628-4ef4-83c7-3bec4fa4aff0_m_210702_everyday_p.jpg	2022\\12\\29	45233	2022-12-29 14:34:20.113903	F	220	\N	0
122	bc8dff9a-1599-4e5c-963d-70ef5abe0e2c_m_221212_livingstone_p.jpg	2022\\12\\29	98493	2022-12-29 14:36:05.66579	F	221	\N	0
124	de8fb507-5949-4d5c-bc93-1524e2d12763_m_220707_another62_p.jpg	2022\\12\\29	45764	2022-12-29 14:40:09.156	F	2	\N	0
126	6ffefb23-c9c2-4775-9527-ea1aa6425254_m_borntoread85_p.jpg	2022\\12\\29	48033	2022-12-29 14:42:19.987651	F	1	\N	0
128	239feb71-41f3-440d-b97a-82f6c62cf935_profile_admin.png	2022\\12\\29	19762	2022-12-29 14:50:54.308512	F	\N	1	0
137	0a150484-0df5-4f3c-9bd2-73c0094d4bbb_9443d1790a6e4a9ea701c14bbc9d4faa.jpg	Banner\\2022\\12\\29	49039	2022-12-29 17:43:53.309785	F	\N	\N	1
138	s_0a150484-0df5-4f3c-9bd2-73c0094d4bbb_9443d1790a6e4a9ea701c14bbc9d4faa.jpg	Banner\\2022\\12\\29	2250	2022-12-29 17:43:53.469072	F	\N	\N	1
143	cf32bc05-667d-4e6c-a4cb-19ba6c4ee920_profile-1.png	2022\\12\\29	26142	2022-12-29 18:51:07.537332	F	\N	2	0
144	90da28cd-5639-4e79-b0a7-6d090cad6ab9_banner.jpg	Banner\\2022\\12\\29	53923	2022-12-29 19:38:08.180928	F	\N	\N	1
